agent,env_id,mode,human,seed,success_rate,mean_reward,std_reward,train_seconds
PPO,MiniGrid-DoorKey-8x8-v0,naive,DistanceNoise,999,0,-47.2553725,6.2568916408129045,21.76
PPO,MiniGrid-DoorKey-8x8-v0,naive,Fatigue,42,0,-52.19499172,13.048554073581238,22.46
PPO,MiniGrid-DoorKey-8x8-v0,naive,Fatigue,123,0,-38.87556491,17.69068861747345,25.26
PPO,MiniGrid-DoorKey-8x8-v0,naive,Fatigue,999,0,-38.83000307,21.12062674573738,24.25
PPO,MiniGrid-DoorKey-8x8-v0,naive,Realistic,42,0,-46.16106227,10.08904919270603,22.08
PPO,MiniGrid-DoorKey-8x8-v0,naive,Realistic,123,0,-25.06318988,17.35845836443234,21.87
PPO,MiniGrid-DoorKey-8x8-v0,naive,Realistic,999,0,-38.38050018,14.937350554685041,23.06
PPO,MiniGrid-DoorKey-8x8-v0,bayesian,StochasticLow,42,0,-35.74325412,16.491785307601283,23.73
PPO,MiniGrid-DoorKey-8x8-v0,bayesian,StochasticLow,123,0,-31.46593826,14.291172902190928,23.14
PPO,MiniGrid-DoorKey-8x8-v0,bayesian,StochasticLow,999,0,-28.52647613,16.779406548738386,24.07
PPO,MiniGrid-DoorKey-8x8-v0,bayesian,StochasticHigh,42,0,19.237500000000132,1.7649982294609083,21.99
PPO,MiniGrid-DoorKey-8x8-v0,bayesian,StochasticHigh,123,0,19.185000000000137,1.032121601362955,22.86
PPO,MiniGrid-DoorKey-8x8-v0,bayesian,StochasticHigh,999,0,14.158916666666752,4.984985185,24.77
PPO,MiniGrid-DoorKey-8x8-v0,bayesian,Adversarial,42,0,15.309773809523955,6.198078445313377,24.45
PPO,MiniGrid-DoorKey-8x8-v0,bayesian,Adversarial,123,0,13.004612873159843,15.510172435987831,22.16
PPO,MiniGrid-DoorKey-8x8-v0,bayesian,Adversarial,999,0,8.359201659451704,1.991574915460809,21.18
PPO,MiniGrid-DoorKey-8x8-v0,bayesian,DistanceNoise,42,0,-40.60857112,8.618092174,21.36
PPO,MiniGrid-DoorKey-8x8-v0,bayesian,DistanceNoise,123,0,-28.56029418,16.58615031270299,21.42
PPO,MiniGrid-DoorKey-8x8-v0,bayesian,DistanceNoise,999,0,-44.08271053,7.851544210509733,21.92
PPO,MiniGrid-DoorKey-8x8-v0,bayesian,Fatigue,42,0,-26.99459852,19.84745557853963,22.95
PPO,MiniGrid-DoorKey-8x8-v0,bayesian,Fatigue,123,0,-29.01724439,18.145232623209075,21.64
PPO,MiniGrid-DoorKey-8x8-v0,bayesian,Fatigue,999,0,-39.6108132,20.084078268562656,21.67
PPO,MiniGrid-DoorKey-8x8-v0,bayesian,Realistic,42,0,-28.19559554,14.418435607922007,22.39
PPO,MiniGrid-DoorKey-8x8-v0,bayesian,Realistic,123,0,-32.26091454,14.410990661021202,28.11
PPO,MiniGrid-DoorKey-8x8-v0,bayesian,Realistic,999,0,-35.5194802,3.9178066640052216,23.08
DQN,MiniGrid-Empty-8x8-v0,sparse,StochasticLow,42,0,0,0,18.66
DQN,MiniGrid-Empty-8x8-v0,sparse,StochasticLow,123,0,0,0,19.36
DQN,MiniGrid-Empty-8x8-v0,sparse,StochasticLow,999,0,0,0,19.01
DQN,MiniGrid-Empty-8x8-v0,sparse,StochasticHigh,42,0,0,0,19.1
DQN,MiniGrid-Empty-8x8-v0,sparse,StochasticHigh,123,0,0,0,18.18
DQN,MiniGrid-Empty-8x8-v0,sparse,StochasticHigh,999,0,0,0,19.37
DQN,MiniGrid-Empty-8x8-v0,sparse,Adversarial,42,0,0,0,19
DQN,MiniGrid-Empty-8x8-v0,sparse,Adversarial,123,0,0,0,18.71
DQN,MiniGrid-Empty-8x8-v0,sparse,Adversarial,999,0,0,0,20.87
DQN,MiniGrid-Empty-8x8-v0,sparse,DistanceNoise,42,0,0,0,21.12
DQN,MiniGrid-Empty-8x8-v0,sparse,DistanceNoise,123,0,0,0,18.87
DQN,MiniGrid-Empty-8x8-v0,sparse,DistanceNoise,999,0,0,0,18.88
DQN,MiniGrid-Empty-8x8-v0,sparse,Fatigue,42,0,0,0,19.41
DQN,MiniGrid-Empty-8x8-v0,sparse,Fatigue,123,0,0,0,18.59
DQN,MiniGrid-Empty-8x8-v0,sparse,Fatigue,999,0,0,0,18.65
DQN,MiniGrid-Empty-8x8-v0,sparse,Realistic,42,0,0,0,20.82
DQN,MiniGrid-Empty-8x8-v0,sparse,Realistic,123,0,0,0,18.16
DQN,MiniGrid-Empty-8x8-v0,sparse,Realistic,999,0,0,0,18.6
DQN,MiniGrid-Empty-8x8-v0,naive,StochasticLow,42,0,-19.12,0.8930845424706569,18.48
DQN,MiniGrid-Empty-8x8-v0,naive,StochasticLow,123,1,1.7013281249999999,0.21540659228538014,19.66
DQN,MiniGrid-Empty-8x8-v0,naive,StochasticLow,999,0,-19.57,0.9597395480024913,19.77
DQN,MiniGrid-Empty-8x8-v0,naive,StochasticHigh,42,0,15.009999999999966,1.0944861808172803,19.2
DQN,MiniGrid-Empty-8x8-v0,naive,StochasticHigh,123,0,15.559999999999965,1.2224565431948942,19.9
DQN,MiniGrid-Empty-8x8-v0,naive,StochasticHigh,999,0,15.459999999999962,1.115526781390746,19.13
DQN,MiniGrid-Empty-8x8-v0,naive,Adversarial,42,0,25.60000000000009,3.552713678800501e-15,17.67
DQN,MiniGrid-Empty-8x8-v0,naive,Adversarial,123,0,25.60000000000009,3.552713678800501e-15,18.85
DQN,MiniGrid-Empty-8x8-v0,naive,Adversarial,999,0,25.60000000000009,3.552713678800501e-15,18.87
DQN,MiniGrid-Empty-8x8-v0,naive,DistanceNoise,42,0,-4.877870227,0.9311877309047039,18.63
DQN,MiniGrid-Empty-8x8-v0,naive,DistanceNoise,123,1,1.5402994356230773,0.17630366126683455,18.95
DQN,MiniGrid-Empty-8x8-v0,naive,DistanceNoise,999,1,1.5455027722568722,0.1440301118354799,18.34
DQN,MiniGrid-Empty-8x8-v0,naive,Fatigue,42,0,-5.608882482,0.388110204,18.65
DQN,MiniGrid-Empty-8x8-v0,naive,Fatigue,123,1,1.861328125,0,17.97
DQN,MiniGrid-Empty-8x8-v0,naive,Fatigue,999,0,-22.75566049,0.8885821724334784,18.83
DQN,MiniGrid-Empty-8x8-v0,naive,Realistic,42,0,-18.78497123,0.6656594481729098,18.28
DQN,MiniGrid-Empty-8x8-v0,naive,Realistic,123,1,1.5781422877070945,0.16949319467218352,18.29
DQN,MiniGrid-Empty-8x8-v0,naive,Realistic,999,0,-15.68555294,1.296369668255507,18.13
DQN,MiniGrid-Empty-8x8-v0,bayesian,StochasticLow,42,0,-4.134847326,0.7163846896762942,18.79
DQN,MiniGrid-Empty-8x8-v0,bayesian,StochasticLow,123,1,1.617455384901745,0.19056413346974618,18.35
DQN,MiniGrid-Empty-8x8-v0,bayesian,StochasticLow,999,1,1.4753000258905522,0.23443678165389764,18.21
DQN,MiniGrid-Empty-8x8-v0,bayesian,StochasticHigh,42,0,7.504999999999983,0.5472430904086402,18.28
DQN,MiniGrid-Empty-8x8-v0,bayesian,StochasticHigh,123,0,7.7799999999999825,0.6112282715974471,17.86
DQN,MiniGrid-Empty-8x8-v0,bayesian,StochasticHigh,999,0,7.729999999999981,0.557763391,18.41
DQN,MiniGrid-Empty-8x8-v0,bayesian,Adversarial,42,0,12.800000000000045,1.7763568394002505e-15,18.33
DQN,MiniGrid-Empty-8x8-v0,bayesian,Adversarial,123,0,12.800000000000045,1.7763568394002505e-15,17.94
DQN,MiniGrid-Empty-8x8-v0,bayesian,Adversarial,999,0,2.7823328277759356,1.8881086065815897,19.61
DQN,MiniGrid-Empty-8x8-v0,bayesian,DistanceNoise,42,1,1.4455820709913265,0.13551860615223793,18.97
DQN,MiniGrid-Empty-8x8-v0,bayesian,DistanceNoise,123,0,-11.62520021,0.8395104229813894,18.39
DQN,MiniGrid-Empty-8x8-v0,bayesian,DistanceNoise,999,0,-10.27027562,0.8075179306553877,18.24
DQN,MiniGrid-Empty-8x8-v0,bayesian,Fatigue,42,0,-22.14369138,0.7600086085502367,18.27
DQN,MiniGrid-Empty-8x8-v0,bayesian,Fatigue,123,0,-22.24383337,0.7642280479364012,18.8
DQN,MiniGrid-Empty-8x8-v0,bayesian,Fatigue,999,0,-4.873661817,0.521985236,18.86
DQN,MiniGrid-Empty-8x8-v0,bayesian,Realistic,42,0,-13.14843971,0.6415975638385094,20.03
DQN,MiniGrid-Empty-8x8-v0,bayesian,Realistic,123,1,1.4047471527959958,0.15418487759683483,19.76
DQN,MiniGrid-Empty-8x8-v0,bayesian,Realistic,999,0,-11.70812501,0.8616973982598429,18.94
DQN,MiniGrid-LavaGapS7-v0,sparse,StochasticLow,42,0,0,0,18.35
DQN,MiniGrid-LavaGapS7-v0,sparse,StochasticLow,123,0,0,0,18.24
DQN,MiniGrid-LavaGapS7-v0,sparse,StochasticLow,999,0,0,0,18.36
DQN,MiniGrid-LavaGapS7-v0,sparse,StochasticHigh,42,0,0,0,20.97
DQN,MiniGrid-LavaGapS7-v0,sparse,StochasticHigh,123,0,0,0,18.57
DQN,MiniGrid-LavaGapS7-v0,sparse,StochasticHigh,999,0,0,0,18.71
DQN,MiniGrid-LavaGapS7-v0,sparse,Adversarial,42,0,0,0,18.69
DQN,MiniGrid-LavaGapS7-v0,sparse,Adversarial,123,0,0,0,18.35
DQN,MiniGrid-LavaGapS7-v0,sparse,Adversarial,999,0,0,0,18.84
DQN,MiniGrid-LavaGapS7-v0,sparse,DistanceNoise,42,0,0,0,18.65
DQN,MiniGrid-LavaGapS7-v0,sparse,DistanceNoise,123,0,0,0,20.09
DQN,MiniGrid-LavaGapS7-v0,sparse,DistanceNoise,999,0,0,0,18.18
DQN,MiniGrid-LavaGapS7-v0,sparse,Fatigue,42,0,0,0,18.51
DQN,MiniGrid-LavaGapS7-v0,sparse,Fatigue,123,0,0,0,18.36
DQN,MiniGrid-LavaGapS7-v0,sparse,Fatigue,999,0,0,0,18.61
DQN,MiniGrid-LavaGapS7-v0,sparse,Realistic,42,0,0,0,19.84
DQN,MiniGrid-LavaGapS7-v0,sparse,Realistic,123,0,0,0,19.06
DQN,MiniGrid-LavaGapS7-v0,sparse,Realistic,999,0,0,0,19.83
DQN,MiniGrid-LavaGapS7-v0,naive,StochasticLow,42,0,-11.065,6.498482515172277,19.15
DQN,MiniGrid-LavaGapS7-v0,naive,StochasticLow,123,0.1,-9.419591837,7.190200280298427,19.07
DQN,MiniGrid-LavaGapS7-v0,naive,StochasticLow,999,0.15,-8.766887755,7.623032730939297,18.13
DQN,MiniGrid-LavaGapS7-v0,naive,StochasticHigh,42,0,11.409999999999977,0.9153687781435382,25.15
DQN,MiniGrid-LavaGapS7-v0,naive,StochasticHigh,123,0,11.919999999999975,1.2172099243762307,33.04
DQN,MiniGrid-LavaGapS7-v0,naive,StochasticHigh,999,0,11.779999999999974,1.2359611644384256,20.81
DQN,MiniGrid-LavaGapS7-v0,naive,Adversarial,42,0,19.600000000000012,3.552713678800501e-15,24.09
DQN,MiniGrid-LavaGapS7-v0,naive,Adversarial,123,0,19.600000000000012,3.552713678800501e-15,23.27
DQN,MiniGrid-LavaGapS7-v0,naive,Adversarial,999,0,19.600000000000012,3.552713678800501e-15,21.24
DQN,MiniGrid-LavaGapS7-v0,naive,DistanceNoise,42,0,-13.03796294,1.0983859336535249,19.74
DQN,MiniGrid-LavaGapS7-v0,naive,DistanceNoise,123,0,-11.04419117,5.066668778416517,21.68
DQN,MiniGrid-LavaGapS7-v0,naive,DistanceNoise,999,0,-13.09776312,2.878927598549308,21.98
DQN,MiniGrid-LavaGapS7-v0,naive,Fatigue,42,0.05,-16.18599927,5.658559619037932,22.8
DQN,MiniGrid-LavaGapS7-v0,naive,Fatigue,123,0,-11.86248591,8.785354336556333,22.53
DQN,MiniGrid-LavaGapS7-v0,naive,Fatigue,999,0.2,-7.353679759,9.187535542725408,21.74
DQN,MiniGrid-LavaGapS7-v0,naive,Realistic,42,0.1,-10.66697848,5.772491383628722,21.75
DQN,MiniGrid-LavaGapS7-v0,naive,Realistic,123,0.25,-2.44359676,5.865349144199586,22.43
DQN,MiniGrid-LavaGapS7-v0,naive,Realistic,999,0.2,-10.84356663,6.111207310471065,22.97
DQN,MiniGrid-LavaGapS7-v0,bayesian,StochasticLow,42,0.15,-8.072609181,6.449866289328506,22.75
DQN,MiniGrid-LavaGapS7-v0,bayesian,StochasticLow,123,0.05,-3.776522264,6.119205434850693,22.33
DQN,MiniGrid-LavaGapS7-v0,bayesian,StochasticLow,999,0,-10.69039325,4.684598435248807,21.67
DQN,MiniGrid-LavaGapS7-v0,bayesian,StochasticHigh,42,0,3.803892857142853,0.8669207479300552,23.05
DQN,MiniGrid-LavaGapS7-v0,bayesian,StochasticHigh,123,0,3.878749999999993,1.0990067327414814,22.9
DQN,MiniGrid-LavaGapS7-v0,bayesian,StochasticHigh,999,0,5.889999999999987,0.6179805822192128,23.76
DQN,MiniGrid-LavaGapS7-v0,bayesian,Adversarial,42,0,2.833816378066374,1.173326059676925,22.87
DQN,MiniGrid-LavaGapS7-v0,bayesian,Adversarial,123,0,3.8758571428571384,1.2248457429832973,21.94
